"","vek","pohl","panas_01","panas_02","panas_03","panas_04","panas_05","panas_06","panas_07","panas_08","panas_09","panas_10","panas_11","panas_12","panas_14","panas_15","panas_16","panas_17","panas_18","panas_19","panas_20","panas_21","swls_01","swls_02","swls_03","swls_04","swls_05","cesd_01","cesd_02","cesd_03","cesd_04","cesd_05","cesd_06","cesd_07","cesd_08","cesd_09","cesd_10","bfi2s_01","bfi2s_02","bfi2s_03","bfi2s_04","bfi2s_05","bfi2s_06","bfi2s_07","bfi2s_08","bfi2s_09","bfi2s_10","bfi2s_11","bfi2s_12","bfi2s_13","bfi2s_14","bfi2s_15","bfi2s_16","bfi2s_17","bfi2s_18","bfi2s_19","bfi2s_20","bfi2s_21","bfi2s_22","bfi2s_23","bfi2s_24","bfi2s_25","bfi2s_26","bfi2s_27","bfi2s_28","bfi2s_29","bfi2s_30","bfi2s_s_extraversion","bfi2s_s_agreeableness","bfi2s_s_conscientiousness","bfi2s_s_negative_emotionality","bfi2s_s_open_mindedness","cesd_s_total","swls_s_satifaction"
"23",49,"M",3,2,3,1,3,2,1,2,4,4,2,3,2,4,2,4,3,2,4,2,4,5,5,5,3,2,3,1,2,4,1,2,4,2,2,4,4,3,3,4,3,3,2,2,2,4,3,3,4,3,4,4,3,4,4,3,3,3,4,4,4,3,3,4,2,18,18,19,15,23,17,4.4
"24",47,"F",2,3,2,3,3,2,1,2,2,3,3,3,2,2,3,2,2,3,2,3,3,4,3,4,1,1,2,2,2,2,3,4,2,1,1,1,3,4,3,2,4,3,2,3,2,3,3,4,3,4,5,3,3,3,2,2,4,3,3,4,2,3,3,5,4,25,19,19,20,18,22,3
"25",40,"M",2,3,1,3,2,1,1,1,2,2,3,3,1,1,2,2,3,3,4,3,4,5,5,5,4,1,1,3,2,2,2,3,2,1,3,2,3,2,3,2,4,3,2,2,2,3,4,4,4,4,4,3,3,4,2,2,4,3,3,4,2,4,3,3,3,23,19,21,15,19,22,4.6
"26",42,"M",3,2,3,4,3,3,1,3,3,3,4,4,1,4,3,4,4,3,3,2,4,6,6,6,3,2,2,1,1,1,1,2,3,1,3,3,4,2,3,4,1,4,3,2,3,3,3,5,2,5,4,4,3,3,2,2,3,4,3,5,3,5,4,3,2,18,15,21,18,23,19,5
"27",47,"M",3,2,3,3,4,2,1,2,4,4,4,3,1,3,3,2,2,3,2,3,5,6,4,4,6,2,2,1,2,3,2,1,3,3,2,2,4,4,2,4,2,3,4,2,2,2,4,3,2,2,4,2,2,4,3,3,4,3,4,4,4,3,4,2,3,17,22,14,14,20,19,5
"28",47,"M",4,2,4,2,4,2,1,1,4,4,2,4,1,4,2,4,4,2,4,1,5,5,6,5,5,1,1,1,1,4,1,1,4,1,1,2,3,2,2,4,4,2,2,2,1,4,3,4,4,4,4,2,4,4,4,2,4,4,4,4,2,2,2,3,2,24,22,24,13,25,10,5.2
"29",50,"M",5,2,4,4,5,3,1,4,5,4,2,4,2,5,2,4,4,4,4,2,6,6,6,6,4,1,2,1,3,3,1,1,3,1,2,3,4,5,4,5,4,5,4,5,1,5,2,4,4,5,3,5,1,4,5,2,4,4,4,5,2,4,5,5,1,23,14,13,20,30,16,5.6
"30",43,"F",3,2,3,3,2,1,1,2,3,2,2,3,1,3,2,4,4,2,3,2,6,4,6,5,3,3,1,3,3,2,2,2,2,1,3,4,4,2,5,4,2,3,2,4,1,2,2,4,4,2,3,2,4,2,2,4,4,4,3,4,4,2,2,3,3,13,21,24,21,20,24,4.8
"31",52,"F",3,2,4,3,2,2,1,1,4,2,4,3,2,4,4,4,3,3,3,2,5,6,5,6,3,3,2,3,2,2,3,2,3,3,1,4,4,2,2,4,3,1,3,2,2,4,3,4,2,3,4,2,4,3,3,4,4,4,4,5,2,3,1,4,2,19,23,24,17,23,24,5
"32",54,"M",3,2,3,3,3,2,1,1,3,3,3,3,2,3,3,4,3,2,3,2,5,6,5,5,4,1,1,1,1,3,1,1,3,1,2,2,3,2,3,2,4,1,2,2,1,3,4,5,3,4,4,2,4,3,4,2,4,4,4,4,3,4,3,3,2,22,22,24,16,23,13,5
"33",55,"M",1,4,3,4,2,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,4,3,3,3,3,1,1,3,1,4,4,4,4,4,4,4,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,4,2,2,14,22,12,22,16,32,1.6
"34",43,"M",3,1,2,1,3,2,2,1,2,2,2,3,1,3,2,3,3,1,3,2,5,5,6,5,4,1,1,1,1,3,1,3,3,1,2,5,4,2,2,4,3,2,2,1,1,4,3,4,4,3,3,2,3,4,3,3,4,3,4,4,3,2,2,2,2,17,23,22,11,23,15,5
"35",50,"F",4,2,3,2,4,3,1,1,4,4,3,4,2,5,3,4,4,2,4,2,6,5,6,6,6,1,1,1,1,4,1,2,3,1,1,3,4,3,2,5,2,1,1,1,1,4,4,4,4,4,3,2,2,4,4,3,5,4,4,4,2,2,3,3,1,19,26,21,12,27,12,5.8
"36",40,"F",3,2,1,2,2,1,2,1,1,3,2,4,1,2,3,4,4,3,2,4,4,3,4,4,3,1,2,2,3,2,3,3,3,2,3,2,4,3,4,4,3,2,2,3,4,3,2,4,4,3,4,2,2,2,4,4,4,4,3,4,4,4,4,2,2,18,20,19,18,21,24,3.6
"37",41,"F",4,1,4,3,4,1,1,1,4,4,2,4,2,4,1,4,4,2,4,2,6,5,6,7,7,1,2,1,2,3,1,2,4,1,2,2,4,5,1,5,3,4,4,1,5,4,2,4,4,4,4,4,1,4,5,3,4,2,4,5,1,4,5,4,1,23,16,11,12,25,15,6.2
"38",41,"M",4,2,4,3,4,3,2,2,5,4,4,3,1,5,2,4,3,3,5,2,7,6,7,7,6,2,3,1,2,3,1,4,4,1,2,4,4,3,4,5,4,3,2,1,1,2,2,4,4,5,5,2,4,4,5,2,4,5,5,5,1,4,2,4,1,22,19,24,14,30,19,6.6
"39",50,"F",4,1,3,2,4,2,1,1,4,3,1,4,2,4,1,4,4,2,4,2,NA,NA,NA,NA,NA,1,2,1,2,4,1,1,4,1,1,3,4,2,2,4,2,1,4,2,2,3,3,5,4,3,4,2,3,4,3,3,4,4,4,4,3,2,3,3,3,18,24,21,13,21,12,NA
"40",45,"M",3,1,2,2,3,2,1,1,4,3,2,3,1,4,2,4,3,1,4,2,4,4,5,3,6,1,1,2,2,4,1,3,4,1,1,4,4,1,5,5,2,2,3,1,2,3,2,4,3,3,4,2,3,4,5,3,4,4,3,2,2,4,2,1,1,18,20,23,15,24,14,4.4
